Date,Machine_ID,Machine_Name,Shift,Units_Produced,Downtime_Minutes,Scrap_Units,Defect_Percentage,Machine_Utilization (%),Bottleneck_Reason,Delay_Cause,Planned_Production,Actual_Production,Energy_Consumption (kWh),Operator_Name
2023-05-10,M003,Machine_M003,Night,637,69,27,1.66,91.39,Material Shortage,Setup Delay,770,637,1827,Benjamin Nicholson
2023-08-19,M003,Machine_M003,Swing,889,64,19,4.94,94.25,Operator Error,Power Issue,993,889,1600,Barbara Haney
2024-04-30,M001,Machine_M001,Day,497,65,24,0.98,89.7,Tooling Issue,Power Issue,567,497,1593,Vanessa Glass
2024-09-17,M005,Machine_M005,Night,425,8,13,1.53,94.71,Operator Error,None,494,425,1476,Andrea Duke
2024-01-26,M002,Machine_M002,Swing,342,15,2,0.64,83.38,Material Shortage,None,491,342,1418,Valerie Phillips
2024-09-29,M001,Machine_M001,Swing,536,103,18,4.0,72.74,Material Shortage,Power Issue,647,536,1167,Michael Strickland PhD
2024-10-27,M005,Machine_M005,Swing,487,89,16,2.41,67.05,Material Shortage,Setup Delay,584,487,1754,Leah Walsh
2022-08-29,M004,Machine_M004,Night,161,47,8,3.17,63.98,Tooling Issue,Power Issue,249,161,1867,Kimberly Hoffman
2023-11-28,M004,Machine_M004,Day,559,60,12,2.01,84.41,Material Shortage,Power Issue,658,559,1986,Cynthia Young
2024-03-14,M003,Machine_M003,Day,559,47,19,3.29,61.52,Material Shortage,Power Issue,628,559,1828,Tyler Brown
2022-08-31,M004,Machine_M004,Day,828,58,11,1.88,66.05,Material Shortage,Power Issue,905,828,1035,Kayla Johnston
2022-10-06,M001,Machine_M001,Swing,734,43,7,2.66,86.44,Material Shortage,None,822,734,1966,Nicole Gibson
2023-01-23,M005,Machine_M005,Swing,743,2,19,2.81,78.03,None,Setup Delay,839,743,1994,Susan Riley
2024-04-17,M002,Machine_M002,Swing,743,19,11,3.74,90.86,Tooling Issue,None,834,743,1048,Evelyn Farrell
2022-12-17,M002,Machine_M002,Night,211,0,7,4.96,74.83,Operator Error,Setup Delay,315,211,1975,Shannon Wallace
2023-11-11,M005,Machine_M005,Swing,456,51,12,2.47,64.21,Tooling Issue,Maintenance Delay,532,456,1619,Donald Boone
2024-04-02,M005,Machine_M005,Day,661,90,25,4.67,81.86,Tooling Issue,None,793,661,1360,Nicole Yang
2023-03-16,M003,Machine_M003,Day,518,104,20,4.23,62.26,None,Power Issue,667,518,1626,Jacqueline Ramirez
2024-08-08,M004,Machine_M004,Night,775,16,36,3.18,64.84,Tooling Issue,Setup Delay,882,775,1786,Elizabeth Chan
2023-09-26,M002,Machine_M002,Swing,726,110,3,3.82,72.03,Operator Error,Maintenance Delay,848,726,1121,James Thompson
2024-01-01,M005,Machine_M005,Day,369,65,1,3.13,65.87,Operator Error,None,491,369,1541,Jesus Faulkner
2023-06-27,M001,Machine_M001,Swing,614,21,6,2.59,82.24,Tooling Issue,Setup Delay,668,614,1479,Denise Parsons
2024-02-16,M001,Machine_M001,Swing,998,86,49,4.42,79.35,Material Shortage,Maintenance Delay,1100,998,1299,Cynthia Harris
2024-11-21,M005,Machine_M005,Day,558,9,2,4.3,69.48,Tooling Issue,None,641,558,1364,Laurie Allen
2023-08-17,M004,Machine_M004,Day,392,81,18,3.67,60.47,Operator Error,Power Issue,495,392,1414,Steven Townsend
2024-10-06,M001,Machine_M001,Swing,473,7,12,4.31,85.61,Operator Error,Maintenance Delay,573,473,1571,Christopher Cisneros
2022-11-25,M003,Machine_M003,Night,912,60,21,2.01,75.01,Operator Error,None,1053,912,1993,Thomas Weber
2023-11-04,M003,Machine_M003,Swing,609,29,21,2.43,78.61,None,None,703,609,1092,Ana Stout
2023-03-22,M003,Machine_M003,Swing,603,28,17,0.87,72.81,Operator Error,Maintenance Delay,687,603,1888,Maria Mitchell
2024-09-06,M003,Machine_M003,Night,687,72,15,1.03,67.41,Tooling Issue,Maintenance Delay,834,687,1759,Jeremy Dyer
2024-11-19,M002,Machine_M002,Day,577,93,4,3.57,60.65,Tooling Issue,None,670,577,1779,John Kelly
2025-02-01,M005,Machine_M005,Night,426,81,5,3.41,94.3,None,Setup Delay,477,426,1136,Kenneth Parks
2023-03-31,M004,Machine_M004,Night,491,42,6,2.4,82.87,Tooling Issue,Power Issue,633,491,1118,Kyle Brown
2023-06-05,M001,Machine_M001,Night,641,9,31,2.6,92.34,Material Shortage,Maintenance Delay,713,641,1853,Jacob Riley
2023-08-26,M003,Machine_M003,Swing,223,25,10,4.24,92.67,None,Power Issue,363,223,1268,Eric Rowe
2024-02-07,M004,Machine_M004,Day,587,39,4,4.03,80.17,Operator Error,Power Issue,646,587,1980,April Jackson
2023-02-15,M004,Machine_M004,Night,784,82,16,1.46,68.25,Operator Error,Maintenance Delay,918,784,1917,Ariana Juarez
2024-12-18,M004,Machine_M004,Day,715,1,8,4.3,73.64,Tooling Issue,None,790,715,1256,Louis Deleon
2024-03-29,M003,Machine_M003,Day,811,17,30,3.52,79.65,Operator Error,Power Issue,895,811,1819,Rachel Rogers
2023-05-10,M003,Machine_M003,Swing,478,77,15,2.84,94.02,None,Setup Delay,611,478,1662,Emily Phillips
2023-05-11,M001,Machine_M001,Day,958,3,46,1.06,86.24,None,Power Issue,1102,958,1204,Chloe Lambert
2023-03-07,M001,Machine_M001,Day,493,94,24,0.54,73.25,Material Shortage,Maintenance Delay,562,493,1249,Cameron Douglas
2022-12-18,M003,Machine_M003,Swing,313,96,5,2.81,62.56,None,Maintenance Delay,392,313,1407,Elizabeth Harris
2023-11-22,M002,Machine_M002,Day,729,99,15,2.21,64.73,Tooling Issue,Setup Delay,876,729,1585,Teresa Chapman
2025-04-05,M001,Machine_M001,Swing,304,29,14,3.85,87.84,None,Setup Delay,397,304,1588,Nicolas Beck
2024-02-11,M005,Machine_M005,Night,834,34,3,1.7,87.03,Tooling Issue,None,957,834,1846,Christina Williams
2022-08-06,M001,Machine_M001,Day,514,73,8,0.54,81.96,None,Maintenance Delay,584,514,1445,James Davidson
2025-02-07,M002,Machine_M002,Swing,932,76,32,2.51,75.43,None,Maintenance Delay,1068,932,1732,Thomas Riley
2024-03-28,M005,Machine_M005,Swing,586,117,11,4.92,80.14,Operator Error,None,650,586,1431,Johnathan Cook
2024-09-22,M003,Machine_M003,Day,125,51,4,4.77,81.91,None,Setup Delay,264,125,1043,Lisa Solomon
2022-12-25,M001,Machine_M001,Day,277,39,13,1.65,82.56,Material Shortage,None,411,277,1979,Danielle Morse
2022-10-19,M002,Machine_M002,Swing,484,63,9,1.95,63.82,None,Power Issue,540,484,1726,Ronald Bennett
2022-11-01,M005,Machine_M005,Swing,113,57,1,2.69,86.73,Tooling Issue,None,244,113,1897,James Martinez
2022-10-10,M002,Machine_M002,Swing,980,33,5,3.13,82.02,None,Maintenance Delay,1093,980,1986,John Fowler
2022-07-09,M001,Machine_M001,Night,545,99,14,3.77,81.7,Tooling Issue,Power Issue,613,545,1935,William Herring
2023-03-21,M005,Machine_M005,Night,930,18,7,2.32,67.57,Tooling Issue,Maintenance Delay,1029,930,1610,Caitlin Richardson
2025-01-05,M003,Machine_M003,Swing,271,31,7,1.5,70.61,Tooling Issue,Maintenance Delay,341,271,1202,Holly Alvarez
2024-10-17,M001,Machine_M001,Swing,550,49,15,2.21,87.78,None,Setup Delay,637,550,1329,Steven Sanchez
2022-08-25,M005,Machine_M005,Swing,313,22,1,4.1,60.26,Tooling Issue,Maintenance Delay,428,313,1821,Christopher Higgins
2023-10-03,M001,Machine_M001,Day,975,37,9,4.76,73.29,Material Shortage,Power Issue,1057,975,1328,Megan Dickerson
2022-09-20,M003,Machine_M003,Swing,152,69,4,1.94,85.94,None,Power Issue,288,152,1654,Harold Miller
2023-09-05,M003,Machine_M003,Day,376,55,8,1.7,82.95,Material Shortage,Power Issue,426,376,1990,Matthew Hill
2025-01-05,M004,Machine_M004,Night,570,60,2,0.6,86.37,None,None,641,570,1081,Christopher Ramirez
2023-03-17,M002,Machine_M002,Day,165,76,7,2.81,84.39,None,Setup Delay,279,165,1424,Olivia Long
2024-11-03,M002,Machine_M002,Night,965,37,15,4.83,61.87,Tooling Issue,Setup Delay,1101,965,1349,Mr. Patrick Alexander
2025-03-14,M002,Machine_M002,Day,791,25,17,4.48,72.17,None,Setup Delay,901,791,1785,Joseph Nelson
2024-08-31,M005,Machine_M005,Night,899,57,6,1.88,71.88,None,Setup Delay,1037,899,1363,Mrs. Dawn Gillespie
2022-11-21,M002,Machine_M002,Day,375,5,2,1.44,86.84,Operator Error,Maintenance Delay,459,375,1198,Jesse Young
2024-02-20,M003,Machine_M003,Night,889,116,18,3.2,84.65,None,None,963,889,1703,Austin Jones
2022-12-22,M001,Machine_M001,Swing,218,90,8,2.55,87.58,Material Shortage,Power Issue,282,218,1666,Danielle Henson
2023-01-15,M003,Machine_M003,Swing,162,65,0,0.72,90.37,Operator Error,Power Issue,281,162,1683,Elizabeth Evans
2022-08-02,M003,Machine_M003,Swing,157,86,4,3.9,77.73,Tooling Issue,Maintenance Delay,301,157,1043,Tyler Woods
2024-07-24,M002,Machine_M002,Day,399,98,15,1.54,82.76,None,Setup Delay,460,399,1378,Susan Taylor
2023-08-27,M001,Machine_M001,Day,446,88,4,4.99,67.1,Tooling Issue,Setup Delay,543,446,1672,Kristen Hoffman
2024-12-04,M005,Machine_M005,Swing,717,86,27,3.46,89.68,Operator Error,Power Issue,776,717,1656,Donna Guzman
2022-09-10,M005,Machine_M005,Day,188,69,8,2.48,78.89,Operator Error,None,271,188,1617,Jennifer Ryan
2023-01-21,M005,Machine_M005,Night,537,17,26,0.74,62.21,Operator Error,Maintenance Delay,637,537,1179,Alyssa Roman
2023-07-01,M003,Machine_M003,Swing,137,58,1,0.67,84.26,None,None,272,137,1097,Megan Leon
2024-11-27,M005,Machine_M005,Night,837,113,28,1.47,63.75,Material Shortage,Power Issue,921,837,1123,Nicole Carter
2024-05-29,M005,Machine_M005,Swing,197,84,1,1.31,60.31,Tooling Issue,Setup Delay,271,197,1156,Cody Schmitt
2023-09-09,M001,Machine_M001,Night,866,99,16,1.86,76.35,Material Shortage,Maintenance Delay,970,866,1647,Sandra Howard
2024-04-01,M002,Machine_M002,Night,978,37,22,2.44,73.83,Tooling Issue,Power Issue,1039,978,1335,Amy Thomas
2024-03-05,M002,Machine_M002,Day,211,34,2,4.88,83.46,Material Shortage,Setup Delay,272,211,1307,Jenny Young
2023-04-02,M001,Machine_M001,Night,114,100,1,4.7,93.28,Material Shortage,None,253,114,1724,James Hughes
2022-06-07,M002,Machine_M002,Night,150,58,1,4.21,80.64,Tooling Issue,Setup Delay,291,150,1949,Stephanie Peck
2023-01-03,M003,Machine_M003,Day,744,90,22,3.09,85.26,None,Setup Delay,804,744,1515,Michelle Williams
2025-03-03,M004,Machine_M004,Swing,555,35,2,2.55,83.96,Tooling Issue,Power Issue,682,555,1493,Wesley French
2024-08-12,M003,Machine_M003,Day,760,41,2,3.64,76.7,Material Shortage,None,901,760,1203,Melissa Jones
2022-09-08,M005,Machine_M005,Night,228,112,6,0.86,73.38,Operator Error,Setup Delay,356,228,1750,Kayla Barry
2024-07-06,M001,Machine_M001,Swing,495,6,21,1.12,87.35,Operator Error,Setup Delay,640,495,1159,Robin Ramirez
2023-07-16,M004,Machine_M004,Swing,205,22,7,3.51,82.21,None,Power Issue,308,205,1938,Lee Deleon
2023-01-04,M001,Machine_M001,Night,196,20,0,2.89,60.06,Material Shortage,None,259,196,1180,Ricardo Lynn
2024-07-19,M004,Machine_M004,Day,898,45,25,4.33,82.58,Operator Error,Power Issue,1030,898,1386,John Peterson
2024-09-25,M003,Machine_M003,Day,174,100,0,4.43,93.65,Material Shortage,Power Issue,296,174,1586,Joseph Marquez
2025-01-28,M004,Machine_M004,Swing,442,114,10,4.15,65.86,Material Shortage,None,516,442,1522,Christy Mahoney
2023-01-21,M004,Machine_M004,Night,422,20,4,3.67,68.08,None,Power Issue,530,422,1669,David Gaines
2024-07-01,M005,Machine_M005,Day,231,65,1,4.87,68.13,Tooling Issue,Setup Delay,372,231,1014,Sophia Kelley
2024-07-28,M003,Machine_M003,Day,169,26,4,2.6,80.58,Operator Error,Maintenance Delay,245,169,1290,Patrick Holt
2022-10-19,M003,Machine_M003,Day,231,25,4,2.3,65.24,Tooling Issue,Setup Delay,349,231,1154,John Ramirez
2023-04-30,M005,Machine_M005,Day,762,14,18,0.76,88.01,Material Shortage,None,812,762,1280,Jacob Keller
2022-07-22,M003,Machine_M003,Day,556,105,10,3.35,67.0,None,None,658,556,1510,Willie Yoder
2023-04-14,M005,Machine_M005,Swing,632,57,4,1.16,85.23,Material Shortage,Setup Delay,682,632,1497,Carly Robertson
2024-02-10,M005,Machine_M005,Swing,883,47,34,2.61,61.41,Material Shortage,Power Issue,941,883,1711,Eric Phillips
2023-10-05,M004,Machine_M004,Day,200,72,8,2.01,88.8,Material Shortage,Maintenance Delay,302,200,1529,Olivia Lee
2023-05-20,M002,Machine_M002,Night,158,46,5,2.69,63.28,None,Power Issue,283,158,1019,Deborah Jackson
2022-08-01,M003,Machine_M003,Day,221,20,9,3.63,92.88,None,Power Issue,344,221,1589,Heidi Lawson
2022-11-22,M005,Machine_M005,Swing,596,70,12,1.22,72.72,None,Power Issue,717,596,1634,Mark Hernandez
2022-06-19,M004,Machine_M004,Night,609,72,14,4.7,74.68,None,Power Issue,735,609,1958,Tracy Dodson
2024-02-06,M001,Machine_M001,Day,469,74,7,4.55,82.29,None,Setup Delay,586,469,1199,Gary Stone
2024-03-10,M003,Machine_M003,Night,382,80,0,1.67,89.36,None,Power Issue,495,382,1989,Andrea White
2022-07-06,M005,Machine_M005,Night,540,28,19,4.64,67.37,None,Setup Delay,621,540,1647,Mario Williams
2024-03-19,M002,Machine_M002,Swing,621,82,16,2.59,65.34,None,Setup Delay,726,621,1154,Daniel Davis
2022-08-17,M005,Machine_M005,Day,292,44,10,2.81,78.43,Tooling Issue,None,407,292,1624,Ruth Richardson
2024-11-13,M003,Machine_M003,Swing,321,31,1,4.79,88.94,Operator Error,Setup Delay,452,321,1025,Alicia Cooper
2024-01-28,M002,Machine_M002,Day,171,71,4,1.89,78.9,Material Shortage,Maintenance Delay,292,171,1964,Matthew Vargas
2024-06-14,M001,Machine_M001,Night,859,30,7,4.71,89.34,None,Power Issue,925,859,1164,Christina Brown
2023-10-04,M002,Machine_M002,Swing,424,51,12,2.38,75.59,None,Setup Delay,489,424,1788,Victor Wood
2024-12-15,M002,Machine_M002,Night,900,108,12,4.79,88.0,Tooling Issue,None,1022,900,1110,John Alexander
2024-10-05,M003,Machine_M003,Night,904,2,41,1.49,62.75,None,Maintenance Delay,1040,904,1413,Denise Smith
2023-12-14,M002,Machine_M002,Night,665,92,32,2.84,60.13,None,Setup Delay,768,665,1669,Joshua Smith
2024-12-08,M003,Machine_M003,Day,631,109,29,0.51,69.72,Operator Error,Maintenance Delay,751,631,1993,Kimberly Dunn
2023-10-13,M001,Machine_M001,Night,968,5,44,0.65,73.24,Operator Error,None,1082,968,1314,Joshua Craig
2023-11-04,M004,Machine_M004,Swing,590,49,6,1.36,62.4,Operator Error,None,707,590,1896,Benjamin Doyle
2024-06-18,M002,Machine_M002,Swing,928,95,22,0.92,77.96,Tooling Issue,Setup Delay,1039,928,1200,William Gonzales
2024-08-20,M005,Machine_M005,Swing,643,116,22,2.98,90.0,None,Setup Delay,777,643,1551,Thomas Smith
2023-02-14,M003,Machine_M003,Swing,539,36,7,3.79,69.5,None,None,676,539,1697,Jamie Garrett
2024-03-02,M002,Machine_M002,Day,292,107,5,4.94,65.6,None,Setup Delay,362,292,1995,Daniel Paul
2022-12-21,M002,Machine_M002,Swing,392,104,17,4.75,76.43,Tooling Issue,Maintenance Delay,452,392,1043,Stephanie Myers
2023-07-04,M005,Machine_M005,Day,699,0,18,3.85,94.56,Material Shortage,Setup Delay,815,699,1443,Stephanie Kim
2022-12-21,M004,Machine_M004,Night,413,64,16,2.75,82.1,Operator Error,Power Issue,476,413,1019,Zoe Miller
2022-09-18,M001,Machine_M001,Swing,858,104,0,1.4,70.47,None,Setup Delay,1001,858,1557,Jessica Thomas
2024-05-24,M003,Machine_M003,Night,282,51,13,4.04,68.36,Material Shortage,None,384,282,1145,James Mccarthy
2024-08-25,M004,Machine_M004,Night,750,57,3,4.43,70.68,None,Power Issue,845,750,1176,Michelle Johnson
2023-05-13,M002,Machine_M002,Swing,769,80,30,3.09,79.88,Tooling Issue,None,860,769,1441,Julie Gonzalez
2024-03-20,M002,Machine_M002,Night,193,34,5,1.1,70.5,None,None,252,193,1872,Jeremy Cisneros
2024-08-14,M005,Machine_M005,Swing,744,35,6,4.43,82.07,Operator Error,None,879,744,1326,Stephen Brooks
2023-11-14,M004,Machine_M004,Swing,585,106,21,1.22,63.17,Tooling Issue,None,647,585,1181,Mary Jackson
2024-02-08,M004,Machine_M004,Day,892,4,20,4.93,79.52,None,Setup Delay,1021,892,1522,John Terry
2024-03-29,M004,Machine_M004,Swing,810,40,23,1.72,71.7,Operator Error,Maintenance Delay,869,810,1670,Jared Carney
2023-02-10,M001,Machine_M001,Swing,275,53,0,3.1,61.53,Material Shortage,Maintenance Delay,356,275,1552,Jeremy Brown
2022-09-14,M002,Machine_M002,Swing,670,116,17,3.08,81.46,None,Power Issue,752,670,1355,Amy Miller
2022-05-14,M001,Machine_M001,Night,268,9,0,2.3,68.8,None,Setup Delay,318,268,1238,Andrew Reyes
2022-05-04,M004,Machine_M004,Night,348,96,4,1.09,64.11,Tooling Issue,None,414,348,1910,Doris Solis
2022-10-31,M002,Machine_M002,Swing,142,66,0,0.96,90.43,Operator Error,None,269,142,1509,Deborah Hines
2023-02-19,M004,Machine_M004,Night,549,13,20,1.67,85.11,Operator Error,None,605,549,1918,Jenny Clark
2025-04-13,M003,Machine_M003,Swing,301,57,12,4.36,87.57,Operator Error,Setup Delay,412,301,1198,Leslie Montgomery
2024-11-12,M005,Machine_M005,Night,531,33,24,2.4,73.8,Operator Error,None,629,531,1947,Sarah Martinez
2023-10-31,M005,Machine_M005,Day,414,103,13,4.93,92.9,Material Shortage,Power Issue,543,414,1357,Brandon Villa
2024-06-10,M003,Machine_M003,Day,707,22,12,3.67,74.1,Operator Error,Power Issue,778,707,1772,Laura Johnson
2023-07-20,M001,Machine_M001,Day,937,27,34,0.96,62.85,Operator Error,None,1064,937,1038,Sarah Harper
2025-02-15,M005,Machine_M005,Night,590,61,25,4.39,63.55,None,None,648,590,1681,Robert Fry
2024-03-24,M005,Machine_M005,Swing,696,80,16,2.48,63.47,Material Shortage,Maintenance Delay,763,696,1918,Travis Hunter
2024-05-11,M001,Machine_M001,Day,641,111,9,2.78,92.28,Tooling Issue,Maintenance Delay,730,641,1134,Brian Walker
2024-02-05,M002,Machine_M002,Day,787,61,32,1.36,72.96,None,Power Issue,880,787,1331,Tyler Guerrero
2023-06-16,M003,Machine_M003,Swing,792,64,19,0.57,82.4,None,Power Issue,853,792,1493,Jeremy Bell
2023-04-11,M002,Machine_M002,Night,476,51,2,2.3,61.52,Tooling Issue,Power Issue,576,476,1066,Jason Carey
2023-07-18,M001,Machine_M001,Day,239,99,3,2.2,85.66,None,Power Issue,289,239,1210,John Anderson
2023-08-27,M001,Machine_M001,Swing,748,70,20,2.13,78.75,None,Setup Delay,849,748,1586,Russell Robertson
2024-05-03,M005,Machine_M005,Night,699,51,22,4.74,94.27,Material Shortage,Maintenance Delay,749,699,1087,Timothy Rhodes
2024-08-17,M002,Machine_M002,Day,320,91,12,0.99,79.85,Tooling Issue,None,426,320,1709,Christopher Moore
2022-08-25,M005,Machine_M005,Day,294,10,11,2.69,61.89,None,Setup Delay,420,294,1933,Elizabeth Williams
2023-11-24,M001,Machine_M001,Day,179,97,4,4.97,68.48,Operator Error,Setup Delay,287,179,1056,James Miller
2022-08-18,M004,Machine_M004,Swing,865,48,6,2.5,65.52,Tooling Issue,Power Issue,969,865,1119,Christopher Kirk
2022-09-07,M003,Machine_M003,Night,465,110,19,4.08,80.82,Tooling Issue,Power Issue,566,465,1574,Brandy Turner MD
2023-10-30,M004,Machine_M004,Night,187,22,5,2.01,64.41,Operator Error,Setup Delay,269,187,1334,Jeffrey Simmons
2023-07-18,M002,Machine_M002,Night,480,88,15,1.51,90.08,None,Power Issue,601,480,1478,Thomas Richardson
2022-07-17,M004,Machine_M004,Swing,794,8,35,3.7,85.81,Operator Error,Setup Delay,894,794,1783,Eric Francis
2024-10-28,M001,Machine_M001,Swing,397,98,17,2.71,60.65,Operator Error,None,458,397,1037,Crystal Johnson
2024-03-13,M003,Machine_M003,Swing,183,38,5,4.65,66.62,None,Power Issue,251,183,1662,Aaron Bailey
2025-02-21,M001,Machine_M001,Night,970,20,12,0.72,72.47,Operator Error,Power Issue,1096,970,1996,Catherine Trevino
2024-10-21,M005,Machine_M005,Night,468,76,21,2.15,60.66,Tooling Issue,Maintenance Delay,563,468,1972,Veronica Perez
2022-05-27,M005,Machine_M005,Day,798,28,7,2.01,67.01,Tooling Issue,Maintenance Delay,921,798,1695,Kevin Fry
2022-11-13,M003,Machine_M003,Swing,264,34,4,0.77,83.39,Material Shortage,Power Issue,324,264,1046,Harry Allison
2025-02-22,M001,Machine_M001,Swing,255,112,4,3.37,79.82,None,Power Issue,321,255,1042,Michelle Powers
2022-09-19,M001,Machine_M001,Day,935,28,13,1.99,80.62,Tooling Issue,Maintenance Delay,1075,935,1086,Meghan Miller
2025-02-01,M005,Machine_M005,Swing,101,102,5,2.03,69.6,Material Shortage,Power Issue,165,101,1681,Cameron Torres
2023-06-23,M003,Machine_M003,Day,912,84,2,1.4,60.91,Material Shortage,Power Issue,1010,912,1130,Melissa Wilson
2025-03-25,M002,Machine_M002,Swing,496,16,6,4.05,90.76,None,Setup Delay,613,496,1413,Jorge Mckenzie
2022-08-02,M005,Machine_M005,Swing,319,70,14,1.86,87.77,Tooling Issue,Maintenance Delay,434,319,1519,Steven Thomas
2024-07-19,M005,Machine_M005,Night,543,118,6,0.6,63.3,Tooling Issue,Maintenance Delay,682,543,1426,Michelle Trevino
2025-03-16,M005,Machine_M005,Night,868,107,12,4.56,81.69,Material Shortage,Power Issue,992,868,1045,Joseph Bailey
2023-09-22,M001,Machine_M001,Night,773,96,10,3.79,79.59,None,Setup Delay,828,773,1286,Robert Smith
2023-07-09,M003,Machine_M003,Day,209,39,4,1.47,73.93,None,Maintenance Delay,309,209,1998,Christina Brown
2023-02-16,M005,Machine_M005,Swing,801,49,39,3.05,61.24,Operator Error,Maintenance Delay,889,801,1202,Lindsay Hicks
2025-03-15,M005,Machine_M005,Swing,530,5,8,1.27,71.19,Tooling Issue,Maintenance Delay,649,530,1339,Daniel White
2023-10-14,M003,Machine_M003,Day,351,27,2,1.53,63.58,Material Shortage,Setup Delay,467,351,1666,Dale Gill
2025-02-06,M001,Machine_M001,Swing,198,84,1,3.76,60.81,Material Shortage,Maintenance Delay,302,198,1053,Michael Jenkins
2022-08-30,M001,Machine_M001,Night,144,32,6,1.07,91.32,None,Maintenance Delay,201,144,1700,Glenn Barajas
2024-04-19,M005,Machine_M005,Day,898,31,14,3.9,68.49,Operator Error,None,1040,898,1331,Rachel Cook
2024-10-10,M005,Machine_M005,Swing,107,104,3,4.7,83.42,Material Shortage,Power Issue,241,107,1276,Barbara Martin
2024-12-13,M005,Machine_M005,Day,229,54,2,4.6,71.46,None,Power Issue,317,229,1811,Mr. Jeffrey Johnson DDS
2022-10-14,M005,Machine_M005,Night,940,44,41,3.49,80.91,Operator Error,Maintenance Delay,1065,940,1466,Heather Jenkins
2023-01-05,M002,Machine_M002,Day,155,56,0,1.15,68.41,Operator Error,Setup Delay,248,155,1867,Lisa David
2024-06-24,M002,Machine_M002,Swing,652,103,17,2.03,64.49,Operator Error,None,794,652,1139,John Lopez
2024-02-21,M001,Machine_M001,Night,477,107,20,3.59,88.13,None,Setup Delay,549,477,1797,Vincent Dunlap
2023-05-06,M002,Machine_M002,Night,688,95,17,2.27,94.33,Material Shortage,Power Issue,751,688,1972,Lindsey Edwards
2024-07-02,M001,Machine_M001,Swing,340,28,14,4.5,66.24,Operator Error,Setup Delay,392,340,1437,Kaitlyn Thomas
2023-12-29,M005,Machine_M005,Night,856,38,29,1.05,76.57,None,Power Issue,970,856,1181,Danielle Butler
2022-09-07,M003,Machine_M003,Swing,476,31,12,0.94,77.83,Operator Error,Maintenance Delay,612,476,1208,Donald Aguirre
2024-04-15,M004,Machine_M004,Night,280,15,9,4.28,90.81,Tooling Issue,Setup Delay,358,280,1486,Amy Thomas
2025-03-11,M002,Machine_M002,Swing,425,44,3,0.63,60.97,Material Shortage,None,569,425,1181,Brian Kennedy
2024-11-07,M005,Machine_M005,Day,468,78,16,1.0,75.68,None,None,587,468,1342,Olivia Dillon
2023-09-14,M001,Machine_M001,Night,137,33,0,4.83,74.69,None,None,255,137,1666,Robert Turner
2024-08-05,M002,Machine_M002,Night,507,87,2,2.91,89.34,Tooling Issue,None,591,507,1925,Scott Powers
2024-06-06,M004,Machine_M004,Swing,820,84,21,4.78,72.89,Tooling Issue,None,954,820,1888,Mandy Petty
2023-02-09,M004,Machine_M004,Day,990,1,10,3.52,81.28,None,Setup Delay,1114,990,1098,Adrian Blevins
2023-04-02,M002,Machine_M002,Night,295,75,0,4.39,81.51,Operator Error,Power Issue,357,295,1077,Jesse House
2024-09-18,M004,Machine_M004,Day,885,29,43,1.68,94.16,Tooling Issue,Setup Delay,989,885,1600,Jennifer Thomas
