Date,Machine_ID,Maintenance_Type,Maintenance_Cost,Downtime_Minutes,Maintenance_Backlog_Count,Spare_Part_Name,Spare_Part_Stock,Breakdown_Reason,MTBF (hours),MTTR (hours),Next_Service_Date,Technician_Name,Technician_Score
2023-07-23,M003,Preventive,3625,219,4,Bearing,66,None,809,1.04,2023-09-12,Mr. David Lewis Jr.,3
2022-10-02,M003,Preventive,4848,138,4,Motor,13,Electrical Fault,608,4.68,2022-11-13,Joel Oliver,2
2024-05-19,M005,Reactive,825,60,3,Belt,25,Wear,980,7.84,2024-06-20,Heather Schneider,5
2022-11-27,M005,Reactive,1349,147,4,Motor,14,Overload,232,2.86,2023-02-24,Christopher Snyder,2
2023-12-31,M004,Preventive,1057,277,2,Gearbox,82,Wear,968,9.12,2024-02-12,Laurie Jackson,2
2024-06-23,M002,Preventive,1728,193,1,Bearing,43,Electrical Fault,266,7.75,2024-08-16,Ana Matthews,1
2023-12-10,M003,Reactive,1202,124,3,Belt,6,None,190,7.96,2024-02-20,Matthew Shah,5
2023-12-03,M005,Preventive,3486,186,2,Sensor,36,Overload,198,9.27,2024-01-19,Lydia Bennett,5
2023-06-11,M005,Reactive,1356,148,4,Belt,37,Electrical Fault,152,5.06,2023-07-24,Ashley Coleman,2
2023-11-05,M005,Preventive,689,161,0,Motor,65,None,322,3.54,2024-01-13,Maria Padilla,3
2023-05-14,M005,Preventive,1193,164,0,Gearbox,82,Electrical Fault,474,1.16,2023-08-01,Julia Jennings,4
2022-09-04,M005,Preventive,1107,83,4,Sensor,27,Electrical Fault,443,2.08,2022-11-13,Michelle Nelson,4
2024-05-12,M001,Reactive,1972,47,2,Belt,9,Wear,533,4.41,2024-08-04,Karen Shea,1
2022-06-12,M002,Preventive,1039,34,0,Bearing,57,Electrical Fault,520,5.39,2022-07-21,Kayla Hall,1
2024-07-28,M004,Reactive,4349,133,2,Bearing,35,Electrical Fault,176,6.08,2024-10-09,Daniel Bullock,4
2024-06-16,M001,Preventive,2021,168,1,Motor,67,None,980,2.12,2024-08-21,Robert Fields,1
2025-04-13,M002,Preventive,3053,130,4,Sensor,25,Overload,482,1.24,2025-06-21,Jennifer Sutton,2
2025-01-26,M002,Reactive,3421,140,3,Motor,10,Wear,303,4.06,2025-04-06,Kristie Dominguez,1
2023-07-09,M004,Preventive,954,182,3,Gearbox,40,Electrical Fault,596,9.3,2023-10-02,Melissa Bowers,2
2025-04-27,M001,Preventive,950,143,1,Sensor,76,Overload,357,9.14,2025-07-06,Daniel Stevens,5
2025-03-09,M001,Preventive,3749,134,0,Motor,91,Overload,258,8.5,2025-04-26,Regina Costa,4
2024-06-09,M001,Reactive,3338,239,3,Sensor,79,Overload,946,6.25,2024-07-10,Robert Cook,5
2022-07-10,M004,Preventive,4161,249,4,Gearbox,37,None,800,5.94,2022-08-19,Erin Davis,4
2024-08-11,M002,Preventive,4777,223,2,Motor,82,None,929,7.82,2024-09-22,Lori Woodward,1
2023-08-20,M005,Preventive,2598,195,0,Motor,89,Electrical Fault,179,6.73,2023-10-13,Matthew Wilson,5
2023-11-12,M001,Preventive,4829,292,0,Gearbox,42,Electrical Fault,926,5.57,2024-01-13,Tyler Nielsen DDS,5
2024-09-29,M003,Reactive,2502,78,3,Belt,94,Overload,142,3.98,2024-11-02,Daniel Santos,2
2024-11-10,M005,Reactive,2883,211,3,Sensor,8,Overload,895,3.21,2024-12-21,Kenneth Torres,1
2024-01-21,M005,Preventive,3580,228,2,Motor,50,Wear,135,6.69,2024-02-27,Anthony Elliott,4
2023-11-19,M003,Preventive,2730,289,3,Belt,88,None,776,2.7,2024-01-09,Robert Stewart,1
2024-11-10,M003,Preventive,4567,253,1,Motor,42,Electrical Fault,757,8.75,2024-12-31,Jared Howard,4
2022-12-11,M001,Preventive,982,116,2,Motor,31,Overload,337,2.1,2023-01-22,Elizabeth Wolfe,4
2023-05-21,M004,Preventive,2977,132,3,Bearing,92,Overload,422,7.6,2023-07-05,Summer Norris,5
2024-08-18,M003,Reactive,2080,60,0,Motor,71,Wear,728,6.8,2024-10-21,Jennifer Reyes,4
2024-06-02,M005,Preventive,3723,165,4,Motor,41,Electrical Fault,830,4.44,2024-07-31,Stanley Mcmillan,3
2023-02-19,M001,Reactive,3740,279,0,Sensor,75,Wear,110,5.75,2023-04-30,Mrs. Katherine Beasley,5
2024-12-29,M002,Preventive,1421,120,3,Bearing,70,Overload,802,7.8,2025-03-06,Brandy Williams,1
2025-02-09,M004,Preventive,3073,233,2,Gearbox,72,Wear,919,5.31,2025-04-17,Michelle Moreno,3
2023-04-02,M001,Preventive,2778,167,4,Motor,98,Overload,774,7.92,2023-06-18,Justin Singleton,5
2023-09-03,M005,Preventive,1536,206,4,Bearing,48,None,557,8.72,2023-11-25,Emma Webb,2
2023-01-01,M004,Preventive,2608,190,2,Gearbox,23,None,755,4.13,2023-03-16,Pamela Jones,4
2024-09-01,M003,Preventive,1493,216,3,Belt,47,Electrical Fault,723,2.4,2024-10-15,Taylor Norton,5
2024-01-21,M002,Preventive,1059,186,0,Belt,75,Wear,206,6.98,2024-03-14,Vanessa Jordan,1
2024-07-28,M001,Preventive,4389,221,1,Bearing,52,Electrical Fault,631,2.91,2024-09-13,Thomas Spencer,2
2022-06-26,M003,Reactive,3909,136,0,Belt,9,Wear,968,1.54,2022-09-17,Brittany Howell,5
2024-12-01,M004,Preventive,3867,241,0,Motor,64,Overload,831,6.51,2025-01-05,Lindsey Moore,1
2022-08-21,M001,Preventive,3912,247,2,Sensor,80,Wear,749,1.85,2022-09-21,Mark Howe,4
2025-04-06,M002,Preventive,3559,44,2,Sensor,27,Overload,941,9.69,2025-06-02,Lisa Powell,3
2024-02-18,M004,Preventive,2328,120,3,Motor,69,Overload,909,7.03,2024-04-29,Amanda Baker,4
2024-03-03,M001,Preventive,1833,91,2,Belt,74,Overload,628,8.97,2024-05-03,Renee Brown,3
2022-07-31,M002,Preventive,3888,80,3,Gearbox,59,Electrical Fault,523,7.19,2022-10-24,Taylor Carson,5
2024-12-08,M005,Preventive,3669,265,1,Belt,25,Overload,350,5.65,2025-01-25,Benjamin Elliott,2
2022-06-12,M001,Reactive,3651,257,4,Bearing,84,Overload,764,9.87,2022-08-09,Kayla Arias,1
2024-09-01,M001,Preventive,3007,219,2,Motor,51,Electrical Fault,540,6.21,2024-11-06,Julie Robinson,2
2023-09-03,M004,Preventive,2401,235,1,Sensor,66,Electrical Fault,503,8.22,2023-10-24,Chad Saunders,2
2023-05-14,M001,Preventive,3960,132,2,Belt,34,Overload,765,4.92,2023-08-07,Garrett Robinson,3
2023-01-29,M001,Preventive,2045,57,4,Gearbox,66,Wear,546,8.78,2023-03-14,Michael Guerra,5
2022-07-03,M004,Reactive,1447,206,3,Belt,49,Electrical Fault,927,5.61,2022-09-06,Mr. Harold Turner,5
2022-08-28,M003,Reactive,2400,200,1,Motor,54,Electrical Fault,862,5.87,2022-10-04,Peter Sanders,4
2023-04-09,M003,Preventive,4379,76,1,Belt,84,None,559,5.28,2023-06-20,Deanna Murphy,5
2024-03-31,M001,Reactive,2611,174,2,Gearbox,96,None,407,9.2,2024-06-10,Allen Cook,1
2025-03-09,M005,Preventive,2532,210,2,Bearing,58,Wear,798,8.61,2025-04-23,Stephanie Morris DDS,2
2025-02-02,M004,Preventive,1888,294,3,Bearing,53,None,696,1.05,2025-04-07,Derrick Phillips,1
2024-09-08,M004,Reactive,4420,208,3,Motor,45,Electrical Fault,582,5.02,2024-12-01,Justin Fuller,2
2023-08-13,M003,Preventive,711,90,2,Bearing,27,None,139,4.63,2023-09-17,Stacey Zimmerman,4
2022-08-07,M002,Reactive,4694,115,4,Bearing,75,Overload,146,2.11,2022-09-21,Meghan Cabrera,3
2023-12-17,M004,Preventive,3538,81,4,Motor,34,None,642,2.51,2024-02-13,Ashley Mccoy,3
2023-11-19,M001,Preventive,1372,218,4,Motor,75,None,498,9.82,2024-01-23,Gordon Murphy,2
2024-10-06,M005,Preventive,4032,215,0,Sensor,42,Wear,128,7.16,2024-12-23,Mark Mueller,1
2024-12-01,M002,Preventive,2727,146,4,Belt,6,None,346,9.46,2025-02-02,Erica Davis,2
2024-06-02,M003,Reactive,4636,196,3,Sensor,24,None,628,9.69,2024-07-26,Robert Brock,2
2022-08-14,M001,Preventive,4976,115,0,Gearbox,87,None,585,9.64,2022-09-14,Martha Todd DVM,4
2025-02-02,M002,Preventive,654,52,4,Belt,91,Overload,820,3.18,2025-03-17,Steven Douglas,4
2024-02-04,M005,Reactive,2779,107,2,Belt,37,Wear,276,8.2,2024-04-06,Jane Potts,5
2024-08-25,M003,Preventive,4173,228,3,Bearing,39,Wear,888,3.42,2024-10-10,David Hammond,2
2023-11-19,M003,Reactive,752,104,0,Sensor,19,Overload,897,6.75,2024-02-06,Benjamin Wiley,4
2025-04-27,M005,Preventive,2219,278,4,Belt,44,None,845,3.91,2025-06-28,Tammy Crawford,4
2024-01-21,M002,Reactive,3001,47,1,Gearbox,9,Overload,731,4.38,2024-04-04,Angelica Rios,3
2023-09-03,M002,Preventive,1289,264,4,Motor,46,Electrical Fault,893,3.22,2023-11-03,Debra Horton,3
2024-02-18,M005,Reactive,1689,214,2,Belt,19,Electrical Fault,197,5.32,2024-05-12,Frederick Bryant,3
2023-11-05,M001,Reactive,926,100,2,Belt,41,Overload,534,2.82,2023-12-28,Michael Craig,3
2023-03-12,M004,Preventive,1981,237,1,Gearbox,8,Wear,785,1.07,2023-06-01,Jennifer Neal,2
2022-11-27,M001,Reactive,4555,51,4,Sensor,73,Overload,696,1.83,2022-12-28,Matthew Miller,1
2023-10-01,M001,Preventive,1087,299,0,Sensor,25,None,849,9.39,2023-11-24,Jennifer Johnston,1
2024-07-14,M002,Preventive,2707,58,0,Sensor,65,Wear,221,9.21,2024-10-03,Jordan Hatfield,5
2023-08-20,M001,Preventive,4129,208,2,Gearbox,25,Electrical Fault,224,8.51,2023-10-17,Kendra Clark,4
2025-02-23,M001,Preventive,2345,163,1,Bearing,83,Electrical Fault,775,7.15,2025-04-05,Joshua Garcia,4
2022-12-18,M001,Preventive,2315,122,1,Sensor,39,None,801,1.86,2023-02-21,Christopher Powell,2
2024-04-07,M001,Preventive,2164,58,4,Belt,26,Wear,485,7.73,2024-05-23,Ashley Hunt,3
2024-01-14,M002,Preventive,1255,84,0,Sensor,77,Overload,468,7.21,2024-04-11,Denise Robertson,5
2023-10-01,M002,Reactive,2755,247,1,Belt,53,Wear,174,1.88,2023-11-27,Daniel Oconnor,5
2024-10-27,M003,Reactive,4958,180,0,Belt,79,Electrical Fault,268,7.85,2025-01-11,Jeffrey Mcconnell,4
2024-07-14,M004,Preventive,3452,122,0,Motor,79,Wear,425,9.5,2024-09-29,Alisha Warren,4
2022-10-16,M005,Preventive,3056,59,2,Bearing,82,None,397,5.92,2022-12-10,Fernando Davis,4
2022-09-11,M002,Preventive,3184,298,2,Bearing,35,None,573,5.18,2022-10-16,Sarah Taylor,2
2025-02-02,M001,Preventive,4267,66,0,Motor,98,Overload,816,7.52,2025-04-03,Laura Short,4
2022-10-30,M005,Preventive,4055,93,0,Bearing,38,Wear,873,8.71,2022-12-01,Donna Powers,2
2023-09-03,M001,Preventive,3851,60,0,Bearing,91,Wear,318,1.72,2023-11-26,John Santos,2
2023-12-24,M004,Reactive,1615,204,3,Motor,55,Wear,713,5.8,2024-02-08,Judy Powers,5
2023-12-24,M003,Preventive,4725,126,4,Bearing,14,Electrical Fault,783,3.99,2024-02-17,Paula Bailey,5
2023-06-25,M003,Preventive,4549,186,0,Motor,21,Overload,552,5.54,2023-08-09,Ethan Love,4
2024-08-11,M004,Preventive,3452,253,0,Motor,32,Wear,448,8.1,2024-10-05,Dennis Jordan,5
2024-02-25,M004,Reactive,1487,59,1,Sensor,23,Wear,231,3.53,2024-04-19,Michael Ellison,1
2024-09-08,M003,Preventive,4068,94,0,Bearing,80,Electrical Fault,646,3.58,2024-11-27,Nicholas Parker,5
2022-07-10,M001,Reactive,573,136,4,Bearing,65,Overload,289,4.69,2022-09-04,Chad Rodriguez,3
2023-04-30,M005,Preventive,4696,278,4,Gearbox,9,Wear,793,2.99,2023-07-14,Christine Ward,4
2024-06-30,M005,Preventive,3423,192,4,Bearing,82,None,567,5.78,2024-08-01,Thomas Archer,5
2024-01-07,M002,Preventive,3044,197,3,Belt,23,Wear,296,7.04,2024-03-05,Lisa Patton,1
2023-11-19,M005,Preventive,1045,123,3,Bearing,22,Overload,138,8.34,2024-01-06,Olivia Buckley,3
2023-07-23,M001,Preventive,4473,295,0,Bearing,77,Electrical Fault,608,7.64,2023-09-25,Kyle Nelson,2
2025-02-23,M004,Preventive,2771,205,0,Motor,35,None,503,9.81,2025-05-22,Michael Rose,1
2022-07-03,M003,Preventive,4710,230,4,Bearing,81,None,857,4.7,2022-09-14,Kim Holden,1
2022-08-21,M001,Reactive,4562,58,0,Motor,29,Wear,870,1.67,2022-11-16,Jose Adams,2
2023-09-03,M001,Preventive,1370,209,4,Belt,64,Electrical Fault,755,2.7,2023-10-08,Kathleen Hardy,3
2023-02-05,M004,Reactive,4357,170,2,Motor,65,None,632,2.29,2023-04-28,Dustin Serrano,1
2023-05-21,M001,Preventive,3004,269,1,Belt,10,Electrical Fault,966,7.53,2023-06-29,Crystal White,3
2023-10-22,M002,Preventive,804,64,1,Bearing,38,Overload,723,2.94,2023-12-23,Richard Davis,3
2025-04-20,M002,Preventive,1572,246,3,Belt,38,None,988,5.36,2025-07-02,Robin Ware,1
2023-07-30,M004,Reactive,1507,120,2,Bearing,64,Electrical Fault,652,8.75,2023-09-16,Amy Price,5
2024-05-26,M004,Preventive,4256,227,3,Bearing,95,Overload,679,9.05,2024-08-16,Jason Hopkins,4
2023-08-27,M002,Reactive,4691,212,1,Bearing,25,None,849,4.47,2023-11-07,Amber Forbes,5
2022-09-18,M001,Preventive,2312,285,3,Motor,26,Wear,266,1.8,2022-11-17,Keith Coleman,2
2024-01-21,M005,Preventive,3039,163,4,Bearing,67,Wear,791,2.42,2024-03-09,Catherine Miller,4
2024-09-29,M003,Preventive,1744,267,3,Motor,28,Electrical Fault,841,2.27,2024-12-15,Amanda Powell,1
2025-01-26,M003,Preventive,3735,58,0,Gearbox,19,Wear,633,5.51,2025-03-26,Sonya Olson,5
2024-06-30,M002,Reactive,1629,266,4,Belt,45,Overload,757,3.67,2024-09-21,Joshua Walsh,5
2023-09-03,M001,Preventive,4766,46,1,Bearing,17,Wear,836,1.61,2023-10-23,Mrs. Angela Lee,4
2023-11-19,M004,Reactive,4488,206,2,Motor,7,Wear,941,3.32,2024-01-25,Miss Christine Barry,1
2022-05-22,M003,Preventive,4218,194,2,Motor,75,Electrical Fault,297,3.22,2022-07-31,Wayne Beasley,2
2022-10-02,M005,Preventive,2312,289,2,Motor,37,Electrical Fault,841,1.39,2022-12-06,Derek Sanchez,5
2023-06-18,M001,Preventive,3167,269,3,Sensor,28,None,951,3.82,2023-09-13,Mark Armstrong,3
2023-05-14,M005,Preventive,3979,176,1,Sensor,93,Electrical Fault,622,5.66,2023-07-02,Dawn Shaw,2
2024-05-05,M001,Preventive,1524,55,1,Bearing,44,Electrical Fault,680,4.08,2024-07-13,Ashley Wallace,1
2023-01-01,M005,Preventive,4264,271,2,Bearing,14,None,989,3.75,2023-03-15,Patricia Rogers,2
2022-05-15,M003,Preventive,2943,246,0,Bearing,33,None,280,9.61,2022-06-29,Alice Warner,5
2022-12-11,M003,Preventive,1410,191,2,Belt,57,None,279,2.81,2023-02-24,Kenneth Little,1
2024-04-21,M004,Reactive,4956,257,3,Bearing,16,Wear,361,1.41,2024-05-29,Corey Little,4
2022-05-22,M005,Preventive,781,119,3,Belt,99,None,670,9.34,2022-08-10,Tamara Morrison,3
2022-11-20,M001,Preventive,688,136,3,Gearbox,85,Overload,318,9.14,2023-01-15,Michael Lewis,4
2022-05-01,M001,Preventive,2852,201,2,Sensor,82,Electrical Fault,852,4.89,2022-06-11,Jeffrey Sanchez,5
2024-02-25,M003,Preventive,4843,248,4,Belt,37,None,103,2.54,2024-04-14,Michael Floyd,3
2023-06-04,M005,Preventive,4705,271,0,Gearbox,94,Overload,482,3.9,2023-08-25,Kelly Blackwell,5
2022-05-01,M002,Preventive,4095,167,0,Motor,67,Electrical Fault,804,8.47,2022-06-24,Joyce Deleon,4
2022-05-22,M001,Preventive,1641,294,2,Belt,53,Wear,994,3.61,2022-07-03,Nicole Taylor,2
2022-11-20,M005,Preventive,4932,155,1,Gearbox,5,None,895,3.23,2023-01-09,Brett Gamble DDS,3
2024-11-24,M004,Preventive,4783,277,1,Belt,78,None,716,7.48,2025-01-31,John Short,2
2023-10-01,M002,Preventive,4157,73,2,Bearing,89,None,986,8.44,2023-12-29,Donald Cruz,1
2024-12-15,M004,Preventive,3693,284,2,Bearing,17,Wear,629,7.54,2025-02-14,Sheri Mccarthy,4
2024-04-21,M003,Reactive,3290,248,1,Sensor,58,Overload,526,9.84,2024-05-22,Nancy Ortiz,3
2022-07-31,M005,Preventive,2525,271,0,Belt,40,Wear,571,5.7,2022-10-24,Karen Allen,3
2022-10-16,M002,Preventive,4117,178,3,Gearbox,78,Overload,908,5.83,2023-01-13,Carl Combs,1
2023-02-26,M005,Preventive,2261,104,4,Belt,74,None,107,4.55,2023-05-01,Christie Avery,3
2024-03-17,M002,Reactive,4469,33,1,Belt,33,None,328,4.81,2024-04-18,Kristy Maldonado,5
2023-08-27,M001,Preventive,4984,212,4,Gearbox,90,Electrical Fault,605,5.46,2023-11-20,Sean Scott,5
2023-04-02,M001,Preventive,2508,204,3,Gearbox,43,Electrical Fault,370,9.15,2023-06-26,Heather Ferguson,3
2023-06-18,M005,Preventive,4991,141,2,Motor,75,Electrical Fault,765,6.03,2023-09-06,Scott Norman,3
2024-09-08,M002,Preventive,1178,254,2,Gearbox,14,None,638,6.8,2024-11-13,Margaret Jones,2
2024-05-05,M004,Reactive,3737,173,3,Motor,88,None,574,9.92,2024-06-22,Heidi Hughes,2
2022-10-09,M003,Preventive,3885,189,1,Motor,63,Overload,665,3.75,2022-11-23,Anthony Daniel,3
2024-10-13,M005,Preventive,4174,155,2,Bearing,61,Wear,467,9.45,2024-11-17,Adam Harding,2
2023-03-12,M005,Preventive,4961,62,3,Bearing,53,None,766,1.55,2023-04-20,Jacob Cook,1
2023-11-12,M004,Preventive,580,99,0,Bearing,45,Overload,491,5.6,2024-01-02,William Davis,1
2022-06-26,M005,Preventive,2796,269,4,Gearbox,33,Electrical Fault,796,5.21,2022-09-11,Jennifer Thomas,1
2024-07-28,M003,Preventive,4075,271,3,Bearing,42,Electrical Fault,942,1.27,2024-10-22,Anthony Brown,4
2024-02-11,M005,Preventive,1187,30,4,Bearing,94,Electrical Fault,907,7.07,2024-05-06,John Turner,1
2023-06-25,M002,Preventive,4836,36,4,Belt,68,Electrical Fault,898,2.12,2023-08-20,Adam Adams,3
2023-11-26,M001,Preventive,3795,211,4,Belt,87,Overload,889,3.83,2023-12-28,Amber Glenn,3
2023-11-12,M001,Preventive,1788,187,4,Motor,17,Wear,510,4.06,2023-12-16,Jessica Alexander,4
2023-12-31,M003,Preventive,1212,237,3,Gearbox,71,Overload,141,4.57,2024-03-01,Patricia Mccarthy,2
2023-02-05,M002,Preventive,2098,125,3,Gearbox,89,Overload,759,5.35,2023-04-15,Beverly Herrera,2
2023-08-06,M004,Preventive,684,187,4,Bearing,82,Electrical Fault,286,1.14,2023-09-28,Patrick Miller,2
2023-01-15,M005,Preventive,1960,214,3,Motor,84,None,496,5.97,2023-03-17,Cassandra Larson,5
2024-10-20,M001,Preventive,4189,225,0,Motor,79,None,913,7.61,2024-11-22,Sarah Welch,5
2023-12-03,M001,Preventive,4651,260,1,Motor,90,None,222,2.99,2024-02-04,Pamela Smith,2
2024-12-08,M003,Preventive,2817,196,0,Belt,11,Wear,729,7.28,2025-02-12,Lauren Williams,4
2023-06-25,M003,Preventive,4108,90,0,Gearbox,69,Wear,656,8.74,2023-09-18,Stephanie Roth,4
2023-01-22,M003,Preventive,1661,170,0,Gearbox,61,Wear,494,5.87,2023-04-20,Thomas Meyer,4
2022-05-22,M004,Preventive,4865,71,0,Motor,63,Electrical Fault,953,6.45,2022-07-12,Debra Roach,1
2023-02-26,M003,Reactive,3935,48,4,Bearing,69,Overload,586,7.19,2023-05-25,Melinda Martin,2
2023-04-02,M002,Preventive,1484,203,4,Bearing,68,Electrical Fault,589,9.66,2023-06-23,Amber Ray,4
2025-03-02,M004,Reactive,4190,261,1,Gearbox,47,Electrical Fault,992,1.91,2025-05-16,Samantha Martinez,2
2022-07-31,M004,Preventive,3071,201,1,Belt,82,None,707,6.09,2022-10-12,Emily Bennett,1
2025-04-13,M005,Preventive,2998,212,3,Sensor,18,Wear,386,7.91,2025-06-25,William Barnett,5
2024-04-28,M004,Reactive,2418,39,2,Sensor,86,Electrical Fault,487,7.2,2024-06-18,Nicole Carter,1
2024-07-28,M005,Preventive,2197,69,3,Sensor,88,Wear,851,5.98,2024-09-01,Kimberly Barron,3
2025-01-19,M005,Reactive,3559,249,3,Motor,11,None,610,3.23,2025-02-22,Rebecca Cannon,4
2022-12-04,M002,Preventive,3542,161,1,Motor,29,Electrical Fault,160,7.24,2023-02-14,James Pennington,4
2025-01-12,M005,Preventive,894,37,0,Sensor,28,Electrical Fault,495,2.23,2025-03-18,Jason Alvarez,3
2024-09-15,M005,Preventive,4330,285,4,Bearing,35,Wear,940,7.22,2024-12-08,Joshua Martinez,5
